,tamp_eval_tamp_with_q_and_p_hard_1200_p_value_actions_exp_with_first_action_score_time,tamp_eval_tamp_with_q_and_p_hard_1200_q_value_actions_exp_with_first_action_score_time
0,1201.285573,1202.193355
1,1200.271183,1200.292712
2,1200.307323,1200.377026
3,1201.574736,1200.07565
4,1201.289565,1204.170064
5,1202.662447,1200.37298
6,1200.743402,1200.063859
7,1201.377255,1200.126779
8,1200.867349,1201.281781
9,1201.374541,1202.368677
10,1200.136625,1201.507498
11,1200.583109,1202.404398
12,1200.065284,1207.813959
13,1200.262087,1200.67616
14,1201.41932,1200.121766
15,1201.068087,1202.518467
16,1203.946661,511.847088
17,1200.184658,1206.822294
18,305.385999,1201.178136
