,tamp_eval_tamp_with_q_and_p_hard_1200_p_value_actions_exp_with_first_action_score_time,els_v2_eval_els_hard_1200_els_actions_exp_with_first_action_score_time
0,1201.285573,1200.365986
1,1200.271183,1200.607693
2,1200.307323,1200.031066
3,1201.574736,1200.352962
4,1201.289565,1200.569477
5,1202.662447,1200.434525
6,1200.743402,1200.405477
7,1201.377255,1200.169921
8,1200.867349,1200.200701
9,1201.374541,1200.366931
10,1200.136625,1200.070839
11,1200.583109,1200.159412
12,1200.065284,1200.618949
13,1200.262087,1200.269603
14,1201.41932,1200.386184
15,1201.068087,1200.437511
16,1203.946661,989.568022
17,1200.184658,1200.121811
18,305.385999,1200.288688
