,tamp_eval_tamp_with_q_and_p_mid_1200_p_value_actions_exp_with_first_action_score_time,els_v2_eval_els_mid_1200_els_actions_exp_with_first_action_score_time
0,1200.009286,1200.02815
1,197.92244,274.377128
2,1112.131738,1200.055304
3,59.020783,334.621962
4,575.196885,769.101184
5,150.395936,354.181739
6,591.370997,1200.179568
7,282.049636,565.835847
8,767.070062,1168.204793
9,52.584326,219.120543
10,610.150069,704.414993
11,300.268096,919.621681
12,1201.960258,1200.480036
13,1105.974746,336.48449
14,681.496053,98.280549
15,166.130238,673.774158
16,724.060736,90.54771
17,1200.002276,1200.155671
18,844.659228,1200.419242
19,1200.219648,1200.285264
20,270.612385,1200.139987
21,288.721173,204.989702
22,1201.350721,1200.638854
23,1200.821461,1200.808491
24,1200.272614,1200.591313
25,141.832259,497.830297
26,102.402695,1200.529531
27,1200.645837,1200.195698
28,1200.031736,1200.847447
29,59.384363,727.100568
30,937.044348,229.596376
31,1200.085094,1200.071135
32,380.27464,960.73125
33,586.25237,1200.737469
34,27.548368,1200.559966
35,487.832623,142.581537
36,53.055336,143.792223
37,28.015065,1200.648895
38,1203.051581,759.188252
39,601.239213,334.218852
40,1202.297025,884.918688
41,226.056287,396.920891
42,206.14736,1200.496491
43,240.206075,526.71786
44,1200.709313,698.336419
45,1201.050857,636.913263
46,311.915728,811.337825
47,1200.909782,1200.748043
48,1039.03413,859.381811
49,586.376492,1200.375117
50,65.80524,511.079469
51,46.412746,418.444687
52,81.783634,247.801004
53,359.932001,524.404235
