,eval_v4_p_v2_p_mid_1200_time,eval_v4_p_v2_p_mid_1200_success,eval_v4_els_v2_els_mid_1200_time,eval_v4_els_v2_els_mid_1200_success
0,1200.237784,0,1200.870711,0
1,390.9886,1,522.807951,1
2,1202.420653,0,1200.336635,0
3,316.546838,1,912.212475,1
4,1201.315128,0,1200.995367,0
5,1200.005926,0,870.709948,1
6,496.427647,1,1200.076141,0
7,116.876892,1,276.497232,1
8,1200.198461,0,475.24039,1
9,1201.092788,0,1200.991843,0
10,1201.397296,0,209.126572,1
11,1200.104374,0,1200.963517,0
12,45.112823,1,1200.111226,0
13,181.763373,1,200.843,1
14,1200.095692,0,1200.401426,0
15,1200.682744,0,1200.58779,0
16,540.862724,1,1201.063241,0
17,560.365562,1,696.858628,1
18,1206.20769,0,1200.810047,0
19,1200.389818,0,215.239681,1
20,80.931752,1,1200.908761,0
21,184.274545,1,1201.120027,0
22,255.614479,1,1200.100897,0
23,1200.264379,0,1200.461725,0
24,1200.764222,0,1200.386103,0
25,766.640507,1,1200.633545,0
26,55.60339,1,387.448734,1
27,1200.158288,0,1200.183017,0
28,1200.690535,0,485.538585,1
29,1202.653341,0,719.353888,1
30,1201.213974,0,1201.140476,0
31,431.327359,1,873.559107,1
32,1201.032096,0,1200.826605,0
33,1201.730479,0,543.249547,1
34,1201.24712,0,1200.362268,0
35,117.452345,1,1200.042663,0
36,150.775952,1,405.47183,1
