,eval_v4_p_v2_p_hard_1200_time,eval_v4_p_v2_p_hard_1200_success,eval_v4_q_v2_q_hard_1200_time,eval_v4_q_v2_q_hard_1200_success
0,1203.800632,0,1200.626786,0
1,1201.280085,0,1205.753991,0
2,1200.245874,0,1200.893101,0
3,1207.659928,0,1200.896074,0
4,1204.02814,0,1200.895063,0
5,1205.395277,0,1203.053953,0
6,1202.710508,0,1202.676594,0
7,1200.43356,0,1203.852138,0
8,1201.304846,0,1201.444499,0
9,1201.120774,0,1204.619142,0
10,1200.763367,0,1200.287949,0
11,1201.606816,0,1201.140642,0
12,1202.071093,0,1200.789423,0
13,1204.499956,0,1208.74778,0
14,1201.398961,0,1203.865307,0
15,1200.665897,0,1209.404507,0
16,1201.003867,0,1200.213076,0
17,593.049639,1,1205.969975,0
